case,case_type,component_categories,status,errors,warnings,roi_boundary_normalized_lines,standard_format,live_format,standard_width,standard_height,standard_channels,live_width,live_height,live_channels,roi_count,standard_brightness,live_brightness,standard_contrast,live_contrast,standard_sharpness,live_sharpness,brightness_delta,contrast_delta,sharpness_delta,raw_luma_mad,aspect_ratio_delta,mean_roi_relative_area,mean_roi_aspect_ratio,standard_keypoints,live_keypoints,feature_match_count,inlier_count,inlier_rate,reprojection_error_pixels,spatial_coverage,center_displacement_pixels,center_displacement_relative_diagonal,corner_displacement_median_pixels,projected_corners_in_live_frame,projected_area_ratio,projected_geometry_valid,alignment_diagnostic,alignment_diagnostic_reasons,homography_available,ecc_converged,ecc_correlation,valid_overlap_available,valid_overlap_ratio
"220kV兴怀站-#1主变_变高升高座_日常","日常","279","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,103.5798645,114.8209717,60.19101477,57.38161703,1036.008291,2528.027007,11.24110725,2.80939774,1492.018716,73.466576,0,0.2375146377,0.4217892133,2000,2000,25,14,0.56,0.5693626416,0.04453992946,601.2930801,0.2729543434,621.7406159,3,0.1917081826,true,"unreliable","projected area ratio outside diagnostic range [0.20, 5.00]; ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.05382998982,true,0.9917279128
"220kV兴怀站-#2主变_变低穿墙套管_日常","日常","190","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,3,96.63376736,122.4231337,71.34122738,53.01318422,1475.662121,719.8084344,25.78936632,18.32804316,755.8536869,55.13131269,0,0.01130403296,0.3769425936,2000,2000,317,285,0.8990536278,0.2712717589,0.2664190036,0.2995602111,0.0001359840374,0.2844719348,0,0.9989223273,true,"usable","",true,true,0.5810510853,true,0.9999209105
"220kV兴怀站-#3主变_变低母线桥_日常","日常","194","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,92.01563995,108.0711217,54.86943807,66.08069181,1717.899809,2824.462468,16.05548177,11.21125374,1106.562658,76.16568046,0,0.1562379331,1.462781874,2000,2000,67,48,0.7164179104,0.396978475,0.1097150384,1.801790758,0.0008179149728,3.977358917,2,0.9961532964,true,"usable","",true,false,,true,0.9981833526
"220kV农园站-#1主变_B相变中套管油位_表计","表计","217","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,87.64698736,109.5013764,59.23023911,49.25983022,801.673625,942.8355867,21.85438899,9.970408898,141.1619617,53.82066599,0,0.05646781596,0.6101864849,1780,2000,154,130,0.8441558442,0.3742816951,0.1403464913,0.5905470192,0.0002680762164,0.9726029447,1,0.9987586134,true,"usable","",true,true,0.3488224416,true,0.9991960841
"220kV农园站-#1主变_变低避雷器_日常","日常","193|268","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,86.74920525,116.2056318,62.22973951,52.10049783,936.5651785,1479.927925,29.4564265,10.12924168,543.3627469,49.60208719,0,0.01832146666,0.3964028398,2000,2000,118,72,0.6101694915,0.07826951014,0.206398284,0.4688458543,0.000212830509,1.406435118,1,0.9995271797,true,"usable","",true,true,0.6353310438,true,0.9988970872
"220kV农园站-#1主变_变高中性点套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,103.6214048,114.4090509,57.43296359,61.48957643,1075.894255,1780.708903,10.78764612,4.056612833,704.814648,52.86794898,0,0.05722777755,0.3782253276,2000,2000,240,216,0.9,0.3159853466,0.1820157713,0.4215486333,0.000191360144,0.5872860171,1,0.9998113791,true,"usable","",true,true,0.3927178884,true,0.998713831
"220kV农园站-#3主变_顶盖_日常","日常","175","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,3,119.0807697,108.4377971,58.24462751,62.75958206,1542.958723,1908.653949,10.64297261,4.514954547,365.6952262,55.18646123,0,0.01001355306,0.4685125874,2000,2000,39,14,0.358974359,0.3818740767,0.1994614616,1.546903211,0.0007022098945,4.570493364,1,0.9978527495,true,"unreliable","inlier rate below diagnostic minimum (0.40)",true,true,0.4063175572,true,0.9971281829
"220kV创业站-#1主变_B相变高套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,74.41062982,99.62282938,67.89962163,71.16930962,1227.715658,6255.294809,25.21219956,3.269687999,5027.579151,73.29198351,0,0.05707930943,0.5298495323,2000,2000,49,35,0.7142857143,0.597114403,0.009742239306,33.5995681,0.01525237584,39.83991914,3,0.8915676351,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02)",true,true,0.2278972098,true,0.9999720293
"220kV创业站-#2主变_B相变中套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,98.89732108,126.4150608,63.3185031,62.82660856,595.1290611,381.4979137,27.51773968,0.4918945376,213.6311474,60.88296152,0,0.06776453477,0.486556077,2000,2000,264,228,0.8636363636,0.05130738919,0.007926394089,2.208831877,0.001002689495,5.879169668,1,1.005879941,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02)",true,true,0.3594744721,true,0.9922815394
"220kV创业站-#4主变_B相变中套管_日常","日常","179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,79.4642091,103.4007644,73.16850348,75.36778433,1231.270497,1898.291201,23.93655527,2.199280849,667.0207044,80.17021171,0,0.3642318063,0.4281591188,2000,2000,21,9,0.4285714286,0.6091612598,0.1001518025,848.51389,0.3851791403,732.4172489,2,0.1671478539,true,"unreliable","projected area ratio outside diagnostic range [0.20, 5.00]",true,false,,true,0.9914858218
